49.9945,43.6001,42.6343,47.2868,99.6116,99.9871,99.9985,61.4218,46.5317,43.5086,47.1899,99.6122,99.9871,99.9985,41.6904
40.0805,30.6155,27.1281,31.7144,99.0079,99.9512,99.9889,53.5815,35.5777,28.7793,31.8847,99.0081,99.9511,99.9889,25.5655
35.5338,25.7448,21.603,24.2604,98.3328,99.8964,99.9746,48.7644,32.3279,24.5876,25.0025,98.3321,99.8965,99.9745,19.1095
99.7904,99.7886,99.7888,99.7912,99.916,99.8742,99.9685,99.7903,99.7877,99.7896,99.7905,99.9168,99.8745,99.9685,99.7904
99.9852,99.9843,99.9844,99.9844,99.9855,99.9999,99.9886,99.9853,99.9843,99.9844,99.9844,99.9855,99.9999,99.9886,99.9844
99.996,99.9958,99.9958,99.9957,99.9959,99.9963,100,99.996,99.9958,99.9958,99.9958,99.9959,99.9963,100,99.9957
99.9979,99.9978,99.9978,99.9978,99.9979,99.998,99.9981,99.9979,99.9978,99.9978,99.9978,99.9979,99.998,99.9981,99.9978
64.0345,60.9673,60.5881,63.0353,99.0503,99.9408,99.9858,74.1037,64.1895,61.3596,63.1039,99.0504,99.9406,99.9858,60.4822
45.7264,40.1699,38.7743,42.4314,98.5227,99.9031,99.9752,60.3207,44.6229,40.4215,42.7044,98.5204,99.9032,99.9752,38.2775
37.668,30.2482,27.8402,30.5376,98.2401,99.8775,99.9683,50.2514,35.9894,30.058,31.1291,98.2464,99.8773,99.9683,26.5823
99.7904,99.7885,99.7884,99.7907,99.9149,99.8701,99.9663,99.79,99.7876,99.7898,99.7904,99.9152,99.8699,99.9663,99.7904
99.9852,99.9843,99.9844,99.9844,99.9855,99.9999,99.9883,99.9853,99.9843,99.9844,99.9844,99.9855,99.9999,99.9883,99.9844
99.996,99.9958,99.9958,99.9957,99.9959,99.9963,100,99.996,99.9958,99.9958,99.9958,99.9959,99.9963,100,99.9957
99.9979,99.9978,99.9978,99.9978,99.9979,99.998,99.9981,99.9979,99.9978,99.9978,99.9978,99.9979,99.998,99.9981,99.9978
27.3664,13.0191,6.76354,8.61944,98.1005,99.8672,99.9661,48.913,22.7312,11.9296,11.176,98.1008,99.8672,99.9661,0
