MNIST, 784-128-96-10 MLP, SGD lr 0.1, batch 64, 5 epochs, on cuda
configuration                                       ep 1    ep 2    ep 3    ep 4    ep 5    time
float32                                           0.9593  0.9606  0.9749  0.9724  0.9705     13s
fp8 signals, fp32 matmuls                         0.9588  0.9614  0.9735  0.9708  0.9669     17s
fp8 signals, fp32 matmuls, loss scale 1024        0.9595  0.9595  0.9715  0.9729  0.9742     19s
fp8 signals, fp22-accumulated matmuls             0.9597  0.9637  0.9686  0.9717  0.9723     16s
fp8 signals, bf16-accumulated matmuls             0.9598  0.9606  0.9733  0.9669  0.9744     16s
fp8 signals, bf16-accumulated matmuls, SR         0.9594  0.9627  0.9709  0.9565  0.9714     16s
fp8 signals, E4M3-accumulated matmuls             0.9173  0.9258  0.8982  0.9481  0.0980     16s
fp8 signals, E4M3 master weights (RNE)            0.9111  0.9053  0.9415  0.9355  0.9363     19s
fp8 signals, E4M3 master weights (SR)             0.9547  0.9476  0.9531  0.9599  0.9636     20s
